iter	Passed	Remaining
292	737	1779
293	740	1778
294	744	1779
295	748	1779
296	752	1781
297	756	1781
298	759	1781
299	763	1781
300	767	1781
301	770	1780
302	773	1779
303	776	1777
304	779	1777
305	782	1775
306	786	1775
307	789	1774
308	793	1773
309	796	1772
310	799	1771
311	802	1770
312	805	1768
313	808	1766
314	811	1765
315	814	1763
316	817	1761
317	820	1759
318	823	1757
319	826	1755
320	829	1753
321	831	1751
322	834	1748
323	836	1745
324	839	1742
325	841	1740
326	844	1738
327	846	1735
328	849	1732
329	851	1729
330	854	1727
331	857	1724
332	860	1723
333	862	1720
334	865	1717
335	867	1714
336	870	1711
337	872	1709
338	874	1705
339	877	1702
340	879	1700
341	882	1697
342	885	1695
343	887	1692
344	889	1689
345	892	1686
346	895	1685
347	898	1682
348	900	1679
349	902	1676
350	904	1673
351	907	1670
352	909	1667
353	912	1664
354	914	1661
355	916	1658
356	918	1655
357	921	1652
358	923	1649
359	926	1646
360	928	1643
361	931	1641
362	933	1638
363	936	1636
364	939	1634
365	942	1632
366	945	1631
367	949	1630
368	952	1629
369	955	1626
370	958	1624
371	960	1621
372	963	1619
373	965	1616
374	968	1613
375	970	1611
376	973	1608
377	976	1606
378	978	1604
379	981	1601
380	984	1598
381	986	1596
382	989	1593
383	991	1591
384	994	1588
385	997	1586
386	1000	1584
387	1003	1582
388	1006	1581
389	1010	1579
390	1013	1578
391	1015	1575
392	1018	1572
393	1020	1570
394	1023	1568
395	1026	1566
396	1030	1564
397	1033	1563
398	1036	1560
399	1039	1559
400	1042	1557
401	1047	1557
402	1050	1555
403	1053	1554
404	1056	1552
405	1060	1551
406	1063	1549
407	1066	1547
408	1069	1545
409	1073	1545
410	1076	1543
411	1079	1541
412	1084	1541
413	1087	1539
414	1092	1539
415	1096	1539
416	1101	1540
417	1107	1541
418	1112	1542
419	1116	1541
420	1120	1540
421	1123	1538
422	1127	1537
423	1131	1536
424	1135	1536
425	1138	1534
426	1141	1532
427	1144	1530
428	1147	1527
429	1150	1525
430	1153	1523
431	1156	1521
432	1159	1518
433	1163	1516
434	1167	1517
435	1171	1515
436	1174	1513
437	1178	1512
438	1183	1512
439	1187	1510
440	1191	1510
441	1195	1508
442	1199	1507
443	1202	1505
444	1205	1503
445	1209	1501
446	1212	1499
447	1216	1499
448	1220	1498
449	1225	1498
450	1229	1496
451	1232	1494
452	1236	1493
453	1241	1492
454	1245	1491
455	1249	1491
456	1253	1489
457	1257	1488
458	1261	1487
459	1265	1485
460	1268	1483
461	1272	1481
462	1275	1479
463	1278	1477
464	1283	1476
465	1287	1475
466	1292	1475
467	1296	1473
468	1299	1471
469	1302	1469
470	1306	1467
471	1309	1465
472	1313	1463
473	1316	1460
474	1319	1458
475	1322	1455
476	1325	1453
477	1328	1450
478	1331	1448
479	1334	1445
480	1337	1442
481	1340	1440
482	1344	1439
483	1348	1437
484	1352	1435
485	1354	1433
486	1357	1430
487	1360	1427
488	1363	1424
489	1366	1422
490	1370	1420
491	1373	1417
492	1375	1414
493	1378	1411
494	1381	1409
495	1383	1406
496	1386	1403
497	1389	1400
498	1391	1397
499	1394	1394
500	1397	1391
501	1399	1388
502	1402	1385
503	1405	1382
504	1408	1380
505	1410	1377
506	1413	1374
507	1416	1371
508	1419	1368
509	1421	1366
510	1424	1363
511	1430	1363
512	1435	1362
513	1438	1360
514	1442	1358
515	1446	1356
516	1448	1353
517	1451	1350
518	1454	1347
519	1456	1344
520	1459	1341
521	1462	1338
522	1465	1336
523	1468	1333
524	1470	1330
525	1473	1327
526	1476	1324
527	1478	1321
528	1482	1319
529	1484	1316
530	1487	1313
531	1490	1310
532	1492	1307
533	1495	1304
534	1497	1301
535	1500	1299
536	1503	1296
537	1505	1292
538	1508	1289
539	1510	1286
540	1512	1283
541	1515	1280
542	1517	1277
543	1520	1274
544	1522	1271
545	1525	1268
546	1527	1265
547	1530	1262
548	1532	1258
549	1534	1255
550	1536	1252
551	1539	1249
552	1541	1246
553	1543	1242
554	1546	1239
555	1549	1236
556	1551	1234
557	1554	1230
558	1556	1227
559	1558	1224
560	1560	1221
561	1563	1218
562	1565	1214
563	1567	1211
564	1569	1208
565	1571	1205
566	1573	1201
567	1576	1198
568	1578	1195
569	1581	1193
570	1583	1190
571	1586	1187
572	1589	1184
573	1592	1181
574	1594	1178
575	1597	1176
576	1600	1173
577	1604	1171
578	1607	1168
579	1610	1166
580	1613	1163
581	1617	1161
582	1620	1159
583	1623	1156
584	1627	1154
585	1630	1151
586	1633	1149
587	1636	1146
588	1639	1144
589	1643	1142
590	1646	1139
591	1649	1136
592	1652	1134
593	1655	1131
594	1659	1129
595	1662	1126
596	1664	1123
597	1667	1120
598	1669	1117
599	1672	1115
600	1675	1112
601	1677	1109
602	1680	1106
603	1683	1103
604	1685	1100
605	1688	1097
606	1690	1094
607	1692	1091
608	1695	1088
609	1697	1085
610	1699	1082
611	1702	1079
612	1704	1076
613	1707	1073
614	1709	1070
615	1712	1067
616	1715	1064
617	1717	1061
618	1720	1058
619	1722	1055
620	1725	1052
621	1727	1050
622	1729	1046
623	1733	1044
624	1735	1041
625	1738	1038
626	1740	1035
627	1742	1032
628	1744	1029
629	1747	1026
630	1750	1023
631	1752	1020
632	1754	1017
633	1756	1014
634	1759	1011
635	1761	1007
636	1763	1004
637	1765	1001
638	1767	998
639	1769	995
640	1771	992
641	1773	989
642	1775	985
643	1777	982
644	1779	979
645	1781	976
646	1783	973
647	1786	970
648	1788	967
649	1790	963
650	1792	960
651	1794	957
652	1796	954
653	1798	951
654	1800	948
655	1802	945
656	1804	942
657	1806	938
658	1808	935
659	1810	932
660	1812	929
661	1814	926
662	1816	923
663	1818	920
664	1820	917
665	1822	914
666	1825	911
667	1827	908
668	1829	905
669	1831	902
670	1833	898
671	1835	895
672	1837	892
673	1839	889
674	1841	886
675	1843	883
676	1846	880
677	1848	878
678	1851	875
679	1853	872
680	1855	869
681	1858	866
682	1860	863
683	1862	860
684	1864	857
685	1866	854
686	1869	851
687	1871	848
688	1873	845
689	1876	842
690	1878	839
691	1880	837
692	1883	834
693	1886	831
694	1888	828
695	1891	826
696	1894	823
697	1896	820
698	1899	817
699	1901	814
700	1903	812
701	1907	809
702	1909	806
703	1913	804
704	1916	801
705	1917	798
706	1920	796
707	1923	793
708	1926	790
709	1929	788
710	1932	785
711	1935	783
712	1938	780
713	1941	777
714	1944	775
715	1947	772
716	1950	769
717	1953	767
718	1956	764
719	1958	761
720	1961	758
721	1963	756
722	1966	753
723	1969	750
724	1972	748
725	1975	745
726	1978	743
727	1981	740
728	1984	737
729	1987	734
730	1990	732
731	1992	729
732	1995	726
733	1998	724
734	2001	721
735	2004	719
736	2007	716
737	2010	713
738	2013	711
739	2016	708
740	2019	705
741	2022	703
742	2025	700
743	2028	697
744	2031	695
745	2034	692
746	2038	690
747	2040	687
748	2043	684
749	2046	682
750	2048	679
751	2052	676
752	2055	674
753	2058	671
754	2061	669
755	2065	666
756	2068	664
757	2072	661
758	2077	659
759	2080	657
760	2083	654
761	2087	651
762	2090	649
763	2094	647
764	2098	644
765	2101	641
766	2104	639
767	2106	636
768	2109	633
769	2112	630
770	2114	628
771	2117	625
772	2119	622
773	2122	619
774	2125	616
775	2128	614
776	2130	611
777	2133	608
778	2136	606
779	2139	603
780	2141	600
781	2144	597
782	2147	595
783	2149	592
784	2152	589
785	2154	586
786	2156	583
787	2159	580
788	2161	578
789	2164	575
790	2166	572
791	2169	569
792	2171	566
793	2173	563
794	2175	561
795	2178	558
796	2180	555
797	2183	552
798	2185	549
799	2187	546
800	2189	544
801	2192	541
802	2194	538
803	2196	535
804	2198	532
805	2201	529
806	2203	526
807	2205	524
808	2207	521
809	2209	518
810	2211	515
811	2214	512
812	2216	509
813	2218	506
814	2220	504
815	2222	501
816	2224	498
817	2226	495
818	2228	492
819	2230	489
820	2232	486
821	2234	483
822	2237	481
823	2239	478
824	2241	475
825	2243	472
826	2245	469
827	2247	466
828	2250	464
829	2252	461
830	2254	458
831	2257	455
832	2259	452
833	2261	450
834	2263	447
835	2266	444
836	2268	441
837	2269	438
838	2271	435
839	2274	433
840	2276	430
841	2278	427
842	2280	424
843	2283	421
844	2284	419
845	2287	416
846	2289	413
847	2291	410
848	2293	407
849	2296	405
850	2298	402
851	2300	399
852	2302	396
853	2304	393
854	2305	391
855	2307	388
856	2309	385
857	2311	382
858	2313	379
859	2315	376
860	2317	374
861	2319	371
862	2321	368
863	2323	365
864	2325	363
865	2327	360
866	2329	357
867	2331	354
868	2333	351
869	2335	349
870	2337	346
871	2339	343
872	2342	340
873	2343	337
874	2346	335
875	2348	332
876	2350	329
877	2352	326
878	2354	324
879	2356	321
880	2358	318
881	2360	315
882	2362	313
883	2364	310
884	2366	307
885	2368	304
886	2370	302
887	2372	299
888	2374	296
889	2376	293
890	2378	291
891	2380	288
892	2383	285
893	2385	282
894	2387	280
895	2390	277
896	2392	274
897	2395	272
898	2397	269
899	2400	266
900	2403	264
901	2405	261
902	2408	258
903	2410	255
904	2412	253
905	2415	250
906	2417	247
907	2419	245
908	2421	242
909	2424	239
910	2427	237
911	2429	234
912	2432	231
913	2434	229
914	2437	226
915	2440	223
916	2443	221
917	2445	218
918	2448	215
919	2450	213
920	2453	210
921	2455	207
922	2458	205
923	2461	202
924	2464	199
925	2466	197
926	2468	194
927	2471	191
928	2473	189
929	2476	186
930	2479	183
931	2482	181
932	2484	178
933	2487	175
934	2490	173
935	2493	170
936	2496	167
937	2500	165
938	2503	162
939	2506	159
940	2509	157
941	2512	154
942	2514	151
943	2517	149
944	2520	146
945	2523	144
946	2526	141
947	2529	138
948	2532	136
949	2535	133
950	2539	130
951	2542	128
952	2545	125
953	2548	122
954	2551	120
955	2554	117
956	2557	114
957	2559	112
958	2562	109
959	2565	106
960	2568	104
961	2571	101
962	2574	98
963	2578	96
964	2581	93
965	2585	90
966	2588	88
967	2591	85
968	2594	83
969	2598	80
970	2601	77
971	2604	75
972	2607	72
973	2610	69
974	2612	66
975	2615	64
976	2617	61
977	2619	58
978	2621	56
979	2624	53
980	2627	50
981	2629	48
982	2631	45
983	2634	42
984	2637	40
985	2639	37
986	2641	34
987	2643	32
988	2646	29
989	2648	26
990	2650	24
991	2652	21
992	2655	18
993	2657	16
994	2659	13
995	2661	10
996	2664	8
997	2666	5
998	2667	2
999	2670	0
